id,short_name,year,title,authors,primary_category_code,source_url,scope_note,evidence_depth,reviewed_on,snapshot_membership
P063,Meta-World,2019,Meta-World: A Benchmark and Evaluation for Multi-Task and Meta Reinforcement Learning,Tianhe Yu and Deirdre Quillen and Zhanpeng He and Ryan Julian and Avnish Narayan and Hayden Shively and Adithya Bellathur and Karol Hausman and Chelsea Finn and Sergey Levine,M,https://arxiv.org/abs/1910.10897,Standardized multi-task manipulation; task family breadth differs from household breadth.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P064,LIBERO,2023,LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning,Bo Liu and Yifeng Zhu and Chongkai Gao and Yihao Feng and Qiang Liu and Yuke Zhu and Peter Stone,M,https://arxiv.org/abs/2306.03310,Knowledge transfer across spatial/object/goal/long-task suites.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P065,CALVIN,2021,CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks,Oier Mees and Lukas Hermann and Erick Rosete-Beas and Wolfram Burgard,M,https://arxiv.org/abs/2112.03227,Language-conditioned task chaining in a manipulation environment.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P066,ManiSkill,2021,ManiSkill: Generalizable Manipulation Skill Benchmark with Large-Scale Demonstrations,Tongzhou Mu and Zhan Ling and Fanbo Xiang and Derek Yang and Xuanlin Li and Stone Tao and Zhiao Huang and Zhiwei Jia and Hao Su,M,https://arxiv.org/abs/2107.14483,Object/instance generalization with demonstrations.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P067,ManiSkill2,2023,ManiSkill2: A Unified Benchmark for Generalizable Manipulation Skills,Jiayuan Gu and Fanbo Xiang and Xuanlin Li and Zhan Ling and Xiqiang Liu and Tongzhou Mu and Yihe Tang and Stone Tao and Xinyue Wei and Yunchao Yao and Xiaodi Yuan and Pengwei Xie and Zhiao Huang and Rui Chen and Hao Su,M,https://arxiv.org/abs/2302.04659,Rigid and soft-body manipulation; a counterexample to purely rigid-object coverage.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P068,ManiSkill3,2024,ManiSkill3: GPU Parallelized Robotics Simulation and Rendering for Generalizable Embodied AI,Stone Tao and Fanbo Xiang and Arth Shukla and Yuzhe Qin and Xander Hinrichsen and Xiaodi Yuan and Chen Bao and Xinsong Lin and Yulin Liu and Tse-kai Chan and Yuan Gao and Xuanlin Li and Tongzhou Mu and Nan Xiao and Arnav Gurha and Viswesh Nagaswamy Rajesh and Yong Woo Choi and Yen-Ru Chen and Zhiao Huang and Roberto Calandra and Rui Chen and Shan Luo and Hao Su,M,https://arxiv.org/abs/2410.00425,Simulation and evaluation infrastructure; configurable task coverage depends on chosen suite.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P069,robosuite,2020,robosuite: A Modular Simulation Framework and Benchmark for Robot Learning,Yuke Zhu and Josiah Wong and Ajay Mandlekar and Roberto Martín-Martín and Abhishek Joshi and Kevin Lin and Abhiram Maddukuri and Soroush Nasiriany and Yifeng Zhu,M,https://arxiv.org/abs/2009.12293,Modular manipulation infrastructure; distinguish framework capabilities from a fixed test set.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P070,RoboCasa,2024,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots,Soroush Nasiriany and Abhiram Maddukuri and Lance Zhang and Adeet Parikh and Aaron Lo and Abhishek Joshi and Ajay Mandlekar and Yuke Zhu,M,https://arxiv.org/abs/2406.02523,Everyday kitchen manipulation with environment diversity.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P071,RoboCasa365,2026,RoboCasa365: A Large-Scale Simulation Framework for Training and Benchmarking Generalist Robots,Soroush Nasiriany and Sepehr Nasiriany and Abhiram Maddukuri and Yuke Zhu,M,https://arxiv.org/abs/2603.04356,Expanded kitchen task and scene coverage; retain family relation to RoboCasa.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P072,VLABench,2024,VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,Shiduo Zhang and Zhe Xu and Peiju Liu and Xiaopeng Yu and Yuan Li and Qinghui Gao and Zhaoye Fei and Zhangyue Yin and Zuxuan Wu and Yu-Gang Jiang and Xipeng Qiu,M,https://arxiv.org/abs/2412.18194,Diverse task categories and implicit-intent/long-horizon evaluation.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P073,RoboTwin,2024,RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins (early version),Yao Mu and Tianxing Chen and Shijia Peng and Zanxin Chen and Zeyu Gao and Yude Zou and Lunkai Lin and Zhiqiang Xie and Ping Luo,M,https://arxiv.org/abs/2409.02920,Dual-arm benchmark and digital-twin data generation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P074,RoboTwin 2.0,2025,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,Tianxing Chen and Zanxin Chen and Baijun Chen and Zijian Cai and Yibin Liu and Zixuan Li and Qiwei Liang and Xianliang Lin and Yiheng Ge and Zhenyu Gu and Weiliang Deng and Yubin Guo and Tian Nian and Xuanbing Xie and Qiangyu Chen and Kailun Su and Tianling Xu and Guodong Liu and Mengkang Hu and Huan-ang Gao and Kaixuan Wang and Zhixuan Liang and Yusen Qin and Xiaokang Yang and Ping Luo and Yao Mu,M,https://arxiv.org/abs/2506.18088,Expanded bimanual benchmarking and randomized data generation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P075,VIMA,2022,VIMA: General Robot Manipulation with Multimodal Prompts,Yunfan Jiang and Agrim Gupta and Zichen Zhang and Guanzhi Wang and Yongqiang Dou and Yanjun Chen and Li Fei-Fei and Anima Anandkumar and Yuke Zhu and Linxi Fan,M,https://arxiv.org/abs/2210.03094,Multimodal prompting with compositional generalization levels.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P076,Ravens / Transporter Networks,2020,Transporter Networks: Rearranging the Visual World for Robotic Manipulation,Andy Zeng and Pete Florence and Jonathan Tompson and Stefan Welker and Jonathan Chien and Maria Attarian and Travis Armstrong and Ivan Krasin and Dan Duong and Ayzaan Wahid and Vikas Sindhwani and Johnny Lee,M,https://arxiv.org/abs/2010.14406,Structured tabletop spatial manipulation tasks.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P077,CLIPort,2021,CLIPort: What and Where Pathways for Robotic Manipulation,Mohit Shridhar and Lucas Manuelli and Dieter Fox,M,https://arxiv.org/abs/2109.12098,Language-conditioned manipulation baseline on Ravens-style tasks.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P078,PerAct,2022,Perceiver-Actor: A Multi-Task Transformer for Robotic Manipulation,Mohit Shridhar and Lucas Manuelli and Dieter Fox,M,https://arxiv.org/abs/2209.05451,3D action representation and manipulation baseline.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P079,FMB,2024,FMB: a Functional Manipulation Benchmark for Generalizable Robotic Learning,Jianlan Luo and Charles Xu and Fangchen Liu and Liam Tan and Zipeng Lin and Jeffrey Wu and Pieter Abbeel and Sergey Levine,M,https://arxiv.org/abs/2401.08553,Functional manipulation benchmark emphasizing generalizable physical skill.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P080,DexArt,2023,DexArt: Benchmarking Generalizable Dexterous Manipulation with Articulated Objects,Chen Bao and Helin Xu and Yuzhe Qin and Xiaolong Wang,M,https://arxiv.org/abs/2305.05706,Dexterous manipulation with articulated objects and object-category transfer.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P081,ARNOLD,2023,ARNOLD: A Benchmark for Language-Grounded Task Learning With Continuous States in Realistic 3D Scenes,Ran Gong and Jiangyong Huang and Yizhou Zhao and Haoran Geng and Xiaofeng Gao and Qingyang Wu and Wensi Ai and Ziheng Zhou and Demetri Terzopoulos and Song-Chun Zhu and Baoxiong Jia and Siyuan Huang,M,https://arxiv.org/abs/2304.04321,Language-grounded task learning with continuous object states.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P082,RoboVerse,2025,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning",Haoran Geng and Feishi Wang and Songlin Wei and Yuyang Li and Bangjun Wang and Boshi An and Charlie Tianyue Cheng and Haozhe Lou and Peihao Li and Yen-Jen Wang and Yutong Liang and Dylan Goetting and Chaoyi Xu and Haozhe Chen and Yuxi Qian and Yiran Geng and Jiageng Mao and Weikang Wan and Mingtong Zhang and Jiangran Lyu and Siheng Zhao and Jiazhao Zhang and Jialiang Zhang and Chengyang Zhao and Haoran Lu and Yufei Ding and Ran Gong and Yuran Wang and Yuxuan Kuang and Ruihai Wu and Baoxiong Jia and Carlo Sferrazza and Hao Dong and Siyuan Huang and Yue Wang and Jitendra Malik and Pieter Abbeel,M,https://arxiv.org/abs/2504.18904,"Unified simulator interface, synthetic data, and generalization benchmarks.",primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P083,RoboDojo,2026,RoboDojo: A Unified Sim-and-Real Benchmark for Comprehensive Evaluation of Generalist Robot Manipulation Policies,Tianxing Chen and Yue Chen and Zixuan Li and Junyuan Tang and Kailun Su and Haoran Lu and Weijie Wan and Baijun Chen and Songling Liu and Haowen Yan and Honghao Su and Zhiyang Dou and Kaixuan Wang and Dandan Zhang and Yunze Liu and Yan Qin and Qiwei Liang and Qiwei Wu and Zijian Lin and Wenwei Lin and Yuran Wang and Minghua He and Tianshu Wu and Ruihai Wu and Jingquan Zhou and Kai-Chong Lei and Haibao Yu and Yuanfeng Ji and Weiyang Jin and Guanyu Lin and Xiaofan Li and Qi Xiong and Renjing Xu and Zhongyu Li and Wenhao Chai and Enze Xie and Ziwei Wang and Yao Mu and Hao Dong and Wojciech Matusik and Mingyu Ding and Wenbo Ding and Ping Luo and Masayoshi Tomizuka,M,https://arxiv.org/abs/2607.04434,Unified sim-and-real manipulation evaluation; five simulation capability dimensions and remote real evaluation.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P084,KinDER,2026,KinDER: A Physical Reasoning Benchmark for Robot Learning and Planning,Yixuan Huang and Bowen Li and Vaibhav Saxena and Yichao Liang and Utkarsh Aashu Mishra and Liang Ji and Lihan Zha and Jimmy Wu and Nishanth Kumar and Sebastian Scherer and Danfei Xu and Tom Silver,M,https://arxiv.org/abs/2604.25788,Isolates kinematic and dynamic reasoning from perception and language demands.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P085,SoftGym,2020,SoftGym: Benchmarking Deep Reinforcement Learning for Deformable Object Manipulation,Xingyu Lin and Yufei Wang and Jake Olkin and David Held,D,https://arxiv.org/abs/2011.07215,Suite covering multiple deformable materials; simulator realism must be checked per task.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P086,DeformableRavens,2020,"Learning to Rearrange Deformable Cables, Fabrics, and Bags with Goal-Conditioned Transporter Networks",Daniel Seita and Pete Florence and Jonathan Tompson and Erwin Coumans and Vikas Sindhwani and Ken Goldberg and Andy Zeng,D,https://arxiv.org/abs/2012.03385,Extends spatial manipulation evaluation to deformable objects.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P087,GarmentLab,2024,GarmentLab: A Unified Simulation and Benchmark for Garment Manipulation,Haoran Lu and Ruihai Wu and Yitong Li and Sijie Li and Ziyu Zhu and Chuanruo Ning and Yan Shen and Longzan Luo and Yuanpei Chen and Hao Dong,D,https://arxiv.org/abs/2411.01200,Garment and deformable manipulation with simulation and real-world benchmarking; check task-specific simulation fidelity.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P088,FlingBot,2021,FlingBot: The Unreasonable Effectiveness of Dynamic Manipulation for Cloth Unfolding,Huy Ha and Shuran Song,D,https://arxiv.org/abs/2105.03655,Dynamic cloth unfolding; evaluates a subskill rather than complete laundry.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P089,SpeedFolding,2022,SpeedFolding: Learning Efficient Bimanual Folding of Garments,Yahav Avigal and Lars Berscheid and Tamim Asfour and Torsten Kröger and Ken Goldberg,D,https://arxiv.org/abs/2208.10552,Real bimanual garment folding; distinguishes efficient folding from unfolding and full laundry.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P090,Cloth Funnels,2022,Cloth Funnels: Canonicalized-Alignment for Multi-Purpose Garment Manipulation,Alper Canberk and Cheng Chi and Huy Ha and Benjamin Burchfiel and Eric Cousineau and Siyuan Feng and Shuran Song,D,https://arxiv.org/abs/2210.09347,Canonical garment alignment for multi-purpose manipulation; supports decomposing laundry into subskills.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P091,UniFolding,2023,"UniFolding: Towards Sample-efficient, Scalable, and Generalizable Robotic Garment Folding",Han Xue and Yutong Li and Wenqiang Xu and Huanyu Li and Dongzhe Zheng and Cewu Lu,D,https://arxiv.org/abs/2311.01267,Scalable and generalizable garment folding; measure material and topology shifts separately.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P092,ICRA cloth competition,2025,A Dataset and Benchmark for Robotic Cloth Unfolding Grasp Selection: The ICRA 2024 Cloth Competition,Victor-Louis De Gusseme and Thomas Lips and Remko Proesmans and Julius Hietala and Giwan Lee and Jiyoung Choi and Jeongil Choi and Geon Kim and Phayuth Yonrith and Domen Tabernik and Andrej Gams and Peter Nimac and Matej Urbas and Jon Muhovič and Danijel Skočaj and Matija Mavsar and Hyojeong Yu and Minseo Kwon and Young J. Kim and Yang Cong and Ronghan Chen and Yu Ren and Supeng Diao and Jiawei Weng and Jiayue Liu and Haoran Sun and Linhan Yang and Zeqing Zhang and Ning Guo and Lei Yang and Fang Wan and Chaoyang Song and Jia Pan and Yixiang Jin and Yong A and Jun Shi and Dingzhe Li and Yong Yang and Kakeru Yamasaki and Takumi Kajiwara and Yuki Nakadera and Krati Saxena and Tomohiro Shibata and Chongkun Xia and Kai Mo and Yanzhao Yu and Qihao Lin and Binqiang Ma and Uihun Sagong and JungHyun Choi and JeongHyun Park and Dongwoo Lee and Yeongmin Kim and Myun Joong Hwang and Yusuke Kuribayashi and Naoki Hiratsuka and Daisuke Tanaka and Solvi Arnold and Kimitoshi Yamazaki and Carlos Mateo-Agullo and Andreas Verleysen and Francis Wyffels,D,https://arxiv.org/abs/2508.16749,Independent real cloth unfolding grasp-selection competition; distinguish grasp success from garment coverage.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P093,MoDeSuite,2025,MoDeSuite: Robot Learning Task Suite for Benchmarking Mobile Manipulation with Deformable Objects,Yuying Zhang and Kevin Sebastian Luck and Francesco Verdoja and Ville Kyrki and Joni Pajarinen,D,https://arxiv.org/abs/2507.21796,Mobile manipulation of deformable objects with simulation and real transfer.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P094,R2R / VLN,2017,Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,Peter Anderson and Qi Wu and Damien Teney and Jake Bruce and Mark Johnson and Niko Sünderhauf and Ian Reid and Stephen Gould and Anton van den Hengel,N,https://arxiv.org/abs/1711.07280,Instruction following in scanned environments; navigation endpoint differs from manipulation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P095,RxR,2020,Room-Across-Room: Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding,Alexander Ku and Peter Anderson and Roma Patel and Eugene Ie and Jason Baldridge,N,https://arxiv.org/abs/2010.07954,Multilingual densely grounded navigation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P096,ALFRED,2019,ALFRED: A Benchmark for Interpreting Grounded Instructions for Everyday Tasks,Mohit Shridhar and Jesse Thomason and Daniel Gordon and Yonatan Bisk and Winson Han and Roozbeh Mottaghi and Luke Zettlemoyer and Dieter Fox,N,https://arxiv.org/abs/1912.01734,Instruction-conditioned navigation and object interaction in household simulation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P097,TEACh,2021,TEACh: Task-driven Embodied Agents that Chat,Aishwarya Padmakumar and Jesse Thomason and Ayush Shrivastava and Patrick Lange and Anjali Narayan-Chen and Spandana Gella and Robinson Piramuthu and Gokhan Tur and Dilek Hakkani-Tur,N,https://arxiv.org/abs/2110.00534,Dialogue-conditioned household task execution.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P098,Habitat 2.0,2021,Habitat 2.0: Training Home Assistants to Rearrange their Habitat,Andrew Szot and Alex Clegg and Eric Undersander and Erik Wijmans and Yili Zhao and John Turner and Noah Maestre and Mustafa Mukadam and Devendra Chaplot and Oleksandr Maksymets and Aaron Gokaslan and Vladimir Vondrus and Sameer Dharur and Franziska Meier and Wojciech Galuba and Angel Chang and Zsolt Kira and Vladlen Koltun and Jitendra Malik and Manolis Savva and Dhruv Batra,N,https://arxiv.org/abs/2106.14405,Interactive rearrangement and mobile manipulation infrastructure.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P099,HomeRobot,2023,HomeRobot: Open-Vocabulary Mobile Manipulation,Sriram Yenamandra and Arun Ramachandran and Karmesh Yadav and Austin Wang and Mukul Khanna and Theophile Gervet and Tsung-Yen Yang and Vidhi Jain and Alexander William Clegg and John Turner and Zsolt Kira and Manolis Savva and Angel Chang and Devendra Singh Chaplot and Dhruv Batra and Roozbeh Mottaghi and Yonatan Bisk and Chris Paxton,N,https://arxiv.org/abs/2306.11565,Open-vocabulary find-and-pick/place workflow with sim and real evaluation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P100,BEHAVIOR-1K,2024,"BEHAVIOR-1K: A Human-Centered, Embodied AI Benchmark with 1,000 Everyday Activities and Realistic Simulation",Chengshu Li and Ruohan Zhang and Josiah Wong and Cem Gokmen and Sanjana Srivastava and Roberto Martín-Martín and Chen Wang and Gabrael Levine and Wensi Ai and Benjamin Martinez and Hang Yin and Michael Lingelbach and Minjune Hwang and Ayano Hiranaka and Sujay Garlanka and Arman Aydin and Sharon Lee and Jiankai Sun and Mona Anvari and Manasi Sharma and Dhruva Bansal and Samuel Hunter and Kyu-Young Kim and Alan Lou and Caleb R Matthews and Ivan Villa-Renteria and Jerry Huayang Tang and Claire Tang and Fei Xia and Yunzhu Li and Silvio Savarese and Hyowon Gweon and C. Karen Liu and Jiajun Wu and Li Fei-Fei,N,https://arxiv.org/abs/2403.09227,Human-centered everyday activity coverage and realistic simulation; linked extended manuscript follows earlier conference version.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P101,Embodied Agent Interface,2024,Embodied Agent Interface: Benchmarking LLMs for Embodied Decision Making,Manling Li and Shiyu Zhao and Qineng Wang and Kangrui Wang and Yu Zhou and Sanjana Srivastava and Cem Gokmen and Tony Lee and Li Erran Li and Ruohan Zhang and Weiyu Liu and Percy Liang and Li Fei-Fei and Jiayuan Mao and Jiajun Wu,N,https://arxiv.org/abs/2410.07166,Unifies embodied decision-making evaluation across task representations and environments.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P102,NavVerse,2026,NavVerse: Benchmarking Indoor-to-Outdoor Embodied Navigation in Continuous Robot Simulation,Junzhe Wu and Yue Hu and Zeyu Han and Po-Hsun Chang and Yinan Dong and Behrad Rabiei and Maani Ghaffari,N,https://arxiv.org/abs/2607.19695,Indoor-to-outdoor navigation in continuous robot simulation.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P103,Follow-Bench,2025,Follow-Bench: A Unified Motion Planning Benchmark for Socially-Aware Robot Person Following,Hanjing Ye and Weixi Situ and Jianwei Peng and Yu Zhan and Bingyi Xia and Kuanqi Cai and Hong Zhang,N,https://arxiv.org/abs/2509.10796,Socially aware person-following motion-planning evaluation.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P104,SIMPLER,2024,Evaluating Real-World Robot Manipulation Policies in Simulation,Xuanlin Li and Kyle Hsu and Jiayuan Gu and Karl Pertsch and Oier Mees and Homer Rich Walke and Chuyuan Fu and Ishikaa Lunawat and Isabel Sieh and Sean Kirmani and Sergey Levine and Jiajun Wu and Chelsea Finn and Hao Su and Quan Vuong and Ted Xiao,R,https://arxiv.org/abs/2405.05941,Tests simulation as a proxy for real-policy evaluation; correlation is conditional.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P105,LIBERO-Plus,2025,LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,Senyu Fei and Siyin Wang and Junhao Shi and Zihao Dai and Jikun Cai and Pengfang Qian and Li Ji and Xinzhe He and Shiduo Zhang and Zhaoye Fei and Jinlan Fu and Jingjing Gong and Xipeng Qiu,R,https://arxiv.org/abs/2510.13626,Controlled perturbations of seven dimensions in LIBERO; measures robustness beyond nominal success.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P106,MetaWorld+,2025,"Meta-World+: An Improved, Standardized, RL Benchmark",Reginald McLean and Evangelos Chatzaroulas and Luc McCutcheon and Frank Röder and Tianhe Yu and Zhanpeng He and K. R. Zentner and Ryan Julian and J K Terry and Isaac Woungang and Nariman Farsad and Pablo Samuel Castro,R,https://arxiv.org/abs/2505.11289,Standardized revision of Meta-World; version and protocol changes can affect comparability.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P107,COLOSSEUM,2024,THE COLOSSEUM: A Benchmark for Evaluating Generalization for Robotic Manipulation,Wilbert Pumacay and Ishika Singh and Jiafei Duan and Ranjay Krishna and Jesse Thomason and Dieter Fox,R,https://arxiv.org/abs/2402.08191,Systematic manipulation perturbations; supports controlled robustness testing.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P108,RoboArena,2025,RoboArena: Distributed Real-World Evaluation of Generalist Robot Policies,Pranav Atreya and Karl Pertsch and Tony Lee and Moo Jin Kim and Arhan Jain and Artur Kuramshin and Clemens Eppner and Cyrus Neary and Edward Hu and Fabio Ramos and Jonathan Tremblay and Kanav Arora and Kirsty Ellis and Luca Macesanu and Marcel Torne Villasevil and Matthew Leonard and Meedeum Cho and Ozgur Aslan and Shivin Dass and Jie Wang and William Reger and Xingfang Yuan and Xuning Yang and Abhishek Gupta and Dinesh Jayaraman and Glen Berseth and Kostas Daniilidis and Roberto Martin-Martin and Youngwoon Lee and Percy Liang and Chelsea Finn and Sergey Levine,R,https://arxiv.org/abs/2506.18123,Distributed double-blind pairwise real-robot evaluations; broader sites but preference ranks differ from fixed-task success.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P109,REFLECT / RoboFail,2023,REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,Zeyi Liu and Arpit Bahety and Shuran Song,R,https://arxiv.org/abs/2306.15724,Failure explanation and correction; includes RoboFail dataset.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P110,AHA,2024,AHA: A Vision-Language-Model for Detecting and Reasoning Over Failures in Robotic Manipulation,Jiafei Duan and Wilbert Pumacay and Nishanth Kumar and Yi Ru Wang and Shulin Tian and Wentao Yuan and Ranjay Krishna and Dieter Fox and Ajay Mandlekar and Yijie Guo,R,https://arxiv.org/abs/2410.00371,Failure diagnosis data/model; diagnosis and successful autonomous recovery are separate endpoints.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P111,RoboReward,2026,RoboReward: General-Purpose Vision-Language Reward Models for Robotics,Tony Lee and Andrew Wagenmaker and Karl Pertsch and Percy Liang and Sergey Levine and Chelsea Finn,R,https://arxiv.org/abs/2601.00675,"Reward dataset and benchmark derived from OXE/RoboArena, including constructed near-miss negatives; assess judge calibration and lineage.",primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P112,EgoOops,2024,EgoOops: A Dataset for Mistake Action Detection from Egocentric Videos referring to Procedural Texts,Yuto Haneji and Taichi Nishimura and Hirotaka Kameko and Keisuke Shirai and Tomoya Yoshida and Keiya Kajimura and Koki Yamamoto and Taiyu Cui and Tomohiro Nishimoto and Shinsuke Mori,R,https://arxiv.org/abs/2410.05343,Procedural-text-conditioned mistake action detection in egocentric video across diverse domains.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P113,REPAIR-Bench,2026,REPAIR-Bench: A Benchmark for Robot Error Perception And Interaction Recovery,Giuliano Pioldi and Yashika Batra and Arman Ibrayeva and Yuanchen Bai and Purnjay Maruur and Promise Ekpo and Angelique Taylor,R,https://arxiv.org/abs/2606.29937,Human perception of repeated robot failures and preferred recovery; not autonomous physical recovery success.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P114,RobotArena infinity,2025,RobotArena $\infty$: Scalable Robot Benchmarking via Real-to-Sim Translation,Yash Jangir and Yidi Zhang and Pang-Chi Lo and Kashu Yamazaki and Chenyu Zhang and Kuan-Hsun Tu and Tsung-Wei Ke and Lei Ke and Yonatan Bisk and Katerina Fragkiadaki,R,https://arxiv.org/abs/2510.23571,Scalable benchmarking through real-to-sim translation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P115,RoboMME-Interference,2026,RoboMME-Interference: Benchmarking Robot Memory Under Interference,Soumil Rathi,R,https://arxiv.org/abs/2606.22338,Robot memory under interference; read exact memory protocol before reuse.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P116,OopsieVerse,2026,OopsieVerse: A Safety Benchmark with Damage-Aware Simulation for Robot Manipulation,Arnav Balaji and Arpit Bahety and Sriniket Ambatipudi and Daniel Lam and Junhong Xu and Roberto Martín-Martín,R,https://arxiv.org/abs/2606.31993,Damage-aware simulation benchmark; task success and damage require separate reporting.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P117,UMI,2024,Universal Manipulation Interface: In-The-Wild Robot Teaching Without In-The-Wild Robots,Cheng Chi and Zhenjia Xu and Chuer Pan and Eric Cousineau and Benjamin Burchfiel and Siyuan Feng and Russ Tedrake and Shuran Song,T,https://arxiv.org/abs/2402.10329,Handheld gripper demonstrations with an explicit robot-compatible interface.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P118,EgoMimic,2024,EgoMimic: Scaling Imitation Learning via Egocentric Video,Simar Kareer and Dhruv Patel and Ryan Punamiya and Pranay Mathur and Shuo Cheng and Chen Wang and Judy Hoffman and Danfei Xu,T,https://arxiv.org/abs/2410.24221,Joint human/robot egocentric learning; transfer still needs embodiment alignment.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P119,EgoDex,2025,EgoDex: Learning Dexterous Manipulation from Large-Scale Egocentric Video,Ryan Hoque and Peide Huang and David J. Yoon and Mouli Sivapurapu and Jian Zhang,T,https://arxiv.org/abs/2505.11709,Human egocentric hand/finger tracking data and hand-trajectory prediction benchmarks; no robot-control success is established by this dataset paper.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P120,EgoScale,2026,EgoScale: Scaling Dexterous Manipulation with Diverse Egocentric Human Data,Ruijie Zheng and Dantong Niu and Yuqi Xie and Jing Wang and Mengda Xu and Yunfan Jiang and Fernando Castañeda and Fengyuan Hu and You Liang Tan and Letian Fu and Trevor Darrell and Furong Huang and Yuke Zhu and Danfei Xu and Linxi Fan,T,https://arxiv.org/abs/2602.16710,Large-scale egocentric human pretraining and aligned human-robot mid-training for dexterous manipulation.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
